SL,Brick,Task Title,Task Description,URL,How to Test,Video Link
1,Brick 1,User Registration - Sign Up,"Implement user registration/signup form with email, password, name fields. Email verification required before account activation",,,
2,Brick 1,User Login - Sign In,"Implement secure login functionality with email/password, remember me option, and failed login attempt tracking",,,
3,Brick 1,Password Reset - Forgot Password,"Implement password reset flow: request reset link via email, verify token, set new password with strength validation",,,
4,Brick 1,Email Verification,"Email confirmation system: send verification email on signup, validate confirmation token, activate account",,,
5,Brick 1,User Profile Management,"Allow users to update their profile: name, email, password, notification preferences, language settings",,,
6,Brick 1,Session Management,"Secure session handling with timeout, remember me cookie, concurrent session management, logout functionality",,,
7,Brick 1,Role-Based Access Control (RBAC),"Implement role-based permissions system for Admin, Portfolio Manager, Site Manager, and Technician roles",,,
8,Brick 1,Admin - Create Portfolio Manager Account,Implement functionality for Admin to create and configure Portfolio Manager accounts with proper permissions and organization assignment,,,
9,Brick 1,Admin - Access Client Data,"Enable Admin to access client data with formalized contractual authorization, including data isolation and audit logging",,,
10,Brick 1,Admin - Client Impersonation,Implement secure client impersonation feature allowing Admin to view and navigate the platform as a specific client for support purposes,,,
11,Brick 1,PM - Create Site Manager Profiles,Portfolio Manager can create and manage Site Manager profiles for their organization with role-based permissions,,,
12,Brick 1,PM - Assign Sites to Site Managers,Implement site assignment functionality allowing Portfolio Managers to assign specific sites to Site Manager users,,,
13,Brick 1,PM - Create and Manage Sites,"Full CRUD functionality for sites including name, address, area, site type, and other attributes from the data model",,,
14,Brick 1,PM - Create and Manage Buildings,"Full CRUD functionality for buildings nested under sites, including construction year, area, ERP classification, energy data, etc.",,,
15,Brick 1,PM - Create and Manage Levels,"Full CRUD functionality for levels (floors) nested under buildings, including level number, altitude, and floor area",,,
16,Brick 1,PM - Create and Manage Spaces,"Full CRUD functionality for spaces/rooms nested under levels, including type, area, capacity, usage, and technical characteristics",,,
17,Brick 1,PM - Create and Manage Equipment,"Full CRUD functionality for equipment nested under spaces, including manufacturer, model, serial number, commissioning date, technical specs",,,
18,Brick 1,PM - Tree View Navigation,Implement hierarchical tree navigation: Portfolio > Sites > Buildings > Levels > Spaces > Equipment with expand/collapse functionality,,,
19,Brick 1,PM - Import OmniClass Table 23,Import OmniClass Table 23 equipment classification (256 equipment types) from Excel file provided by client,,,
20,Brick 1,PM - Import Space Structure,Import space structure including OmniClass Table 13 space classifications (966 types) from Excel file,,,
21,Brick 1,PM - Import Contract Families,Import contract families and subfamilies (7 families, 20+ subfamilies) from Excel file provided by client,,
22,Brick 1,PM - Equipment Search & Autocomplete,"Search and autocomplete system in equipment database to facilitate manual entry, with filtering by technical lot and function",,,
23,Brick 1,PM - Link Equipment to OmniClass,Manual linking interface for associating equipment with OmniClass classification codes via search system,,,
24,Brick 1,PM - Upload PDF Contracts,"Upload multi-page PDF contract documents with progress indicator and file validation (max size, file type)",,,
25,Brick 1,PM - OCR Text Extraction (Mistral),Integrate Mistral OCR API for text extraction from uploaded PDF documents (~€0.10/contract cost),,,
26,Brick 1,PM - LLM Data Structuring (OpenRouter),"Automatic data extraction via LLM (OpenRouter): contract number, dates, type, provider, durations, renewal, equipment, amounts (72 fields)",,,
27,Brick 1,PM - Validate Extracted Data,"Manual validation interface showing extracted data side-by-side with PDF, allowing corrections and confirmations before saving",,,
28,Brick 1,PM - Manual Contract Creation,"Create contracts manually when no document exists or extraction is incomplete, with comprehensive form for all 72 contract fields",,,
29,Brick 1,PM - Contract Family Search,Search and autocomplete system in contract family/subfamily database to facilitate manual linking during contract entry,,,
30,Brick 1,PM - Link Services to Contract Families,Manual linking of services to Contract Family/Subfamily using search system with autocomplete suggestions,,,
31,Brick 1,PM - Auto-Calculate Contract Dates,"Automatically calculate last renewal date, contract expiry date, termination deadline, last amount update date based on contract parameters",,,
32,Brick 1,PM - Auto-Calculate VAT Amounts,Automatically calculate VAT inclusive amounts from exclusive amounts based on configurable VAT rates,,,
33,Brick 1,PM - View Contract List,"Display contracts in list/table view with pagination, sorting, and column customization",,,
34,Brick 1,PM - Filter Contracts,"Multiple filter options: by site, building, contract family, service provider, status, date ranges, amount ranges",,,
35,Brick 1,PM - Create Organizations,"Create and manage organizations (companies) with 12 fields: name, legal name, SIRET, type, address, contacts, specialties, status",,,
36,Brick 1,PM - Create Contacts,"Create and manage contacts nested under organizations with 11 fields: name, position, phone, email, availability, languages",,,
37,Brick 1,PM - Create Agencies,"Create and manage agencies/establishments under organizations with address, service area, certifications",,,
38,Brick 1,PM - Organization Search & Autocomplete,Search and autocomplete for organizations and contacts databases to facilitate manual linking during contract entry,,,
39,Brick 1,PM - Link Organizations to Contracts,Manual linking of organizations (service providers) to contracts using search system with organization details preview,,,
40,Brick 1,PM - Generate Contract PDF Summary,"Generate PDF summary sheets per contract with emergency numbers, references, equipment list, based on client template",,,
41,Brick 1,PM - Export Contract List,Export contract list to Excel/CSV with selected columns and applied filters,,,
42,Brick 1,PM - Export Equipment List,Export equipment list to Excel/CSV with hierarchy context (site > building > level > space),,,
43,Brick 1,PM - Export Sites Structure,Export complete sites structure to Excel with hierarchical indentation or nested sheets,,,
44,Brick 1,PM - Portfolio Overview Dashboard,"Dashboard displaying portfolio overview: total sites, buildings, equipment, contracts, total contract value, key metrics",,,
45,Brick 1,PM - Key Indicators Display,"Display key indicators: contracts by status, contracts by family, upcoming renewals, total spend by category",,,
46,Brick 1,PM - Analytics Dashboard,"Analytics page with charts and graphs showing contract distribution, spending trends, equipment distribution by type",,,
47,Brick 1,SM - View Assigned Sites,Site Manager can view only sites assigned to them by Portfolio Manager with restricted access to other sites,,,
48,Brick 1,SM - View Site Contracts,View contracts related to assigned sites with read-only access to contract details,,,
49,Brick 1,SM - Upload Contracts for Scope,"Upload contract PDFs for sites within their scope, triggering OCR/LLM extraction workflow",,,
50,Brick 1,SM - View Site Equipment,View list of equipment for assigned sites with hierarchical navigation (building > level > space > equipment),,,
51,Brick 1,SM - Generate Contract PDF,Generate and export contract summary sheets in PDF format for contracts within their scope,,,
52,Brick 1,System - Data Isolation,Complete data isolation between clients ensuring no cross-client data access or visibility,,,
53,Brick 1,System - Responsive Web Design,"Responsive web interface working seamlessly on desktop, tablet, and mobile devices",,,
54,Brick 1,System - Client Branding,Clean design with client's graphic charter (logo and colors integration),,,
55,Brick 1,System - HTTPS & Security,"Secure hosting in France with HTTPS connections, SSL certificates, and data encryption",,,
56,Brick 1,System - Global Search,"Global search functionality across contracts, equipment, sites, organizations with faceted filtering",,,
